ALG_DSA_SHA;no;		0.014000;0;0;0
ALG_RSA_SHA_RFC2409;no;		0.015000;0;0;0
ALG_RSA_MD5_RFC2409;no;		0.014000;0;0;0
ALG_ECDSA_SHA;yes;		0.252000;76;116;116
ALG_AES_MAC_128_NOPAD;yes;		0.121000;32;36;36
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;		0.113000;32;20;20
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;		0.109000;32;20;20
ALG_RSA_SHA_PKCS1_PSS;yes;		0.114000;32;99;99
ALG_RSA_MD5_PKCS1_PSS;yes;		0.113000;32;95;95
ALG_RSA_RIPEMD160_PKCS1_PSS;no;		0.013000;0;0;0
ALG_HMAC_SHA1;yes;		0.113000;32;95;95
ALG_HMAC_SHA_256;yes;		0.108000;32;107;107
ALG_HMAC_SHA_384;yes;		0.114000;32;211;211
ALG_HMAC_SHA_512;yes;		0.109000;32;211;211
ALG_HMAC_MD5;yes;		0.115000;32;91;91
ALG_HMAC_RIPEMD160;no;		0.014000;0;0;0
ALG_RSA_SHA_ISO9796_MR;yes;		0.110000;32;358;358
ALG_RSA_RIPEMD160_ISO9796_MR;no;		0.014000;0;0;0
ALG_SEED_MAC_NOPAD;yes;		0.115000;32;36;36
ALG_ECDSA_SHA_256;yes;		0.261000;76;140;140
ALG_ECDSA_SHA_384;yes;		0.259000;76;260;260
ALG_AES_MAC_192_NOPAD;no;		0.014000;0;0;0
ALG_AES_MAC_256_NOPAD;no;		0.014000;0;0;0
ALG_ECDSA_SHA_224;yes;		0.251000;76;136;136
ALG_ECDSA_SHA_512;yes;		0.245000;76;276;276
ALG_RSA_SHA_224_PKCS1;yes;		0.122000;32;111;111
ALG_RSA_SHA_256_PKCS1;yes;		0.109000;32;111;111
ALG_RSA_SHA_384_PKCS1;yes;		0.115000;32;215;215
ALG_RSA_SHA_512_PKCS1;yes;		0.108000;32;215;215
ALG_RSA_SHA_224_PKCS1_PSS;yes;		0.113000;32;111;111
ALG_RSA_SHA_256_PKCS1_PSS;yes;		0.109000;32;111;111
ALG_RSA_SHA_384_PKCS1_PSS;yes;		0.114000;32;215;215
ALG_RSA_SHA_512_PKCS1_PSS;yes;		0.114000;32;215;215
ALG_DES_MAC4_ISO9797_1_M1_ALG3;yes;		0.113000;32;20;20
ALG_DES_MAC8_ISO9797_1_M1_ALG3;yes;		0.113000;32;20;20
ALG_AES_CMAC_128;yes;		0.113000;32;36;36

javacard.security.MessageDigest
ALG_SHA;yes;		0.114000;24;95;95
ALG_MD5;yes;		0.113000;24;91;91
ALG_RIPEMD160;no;		0.020000;0;0;0
ALG_SHA_256;yes;		0.113000;24;107;107
ALG_SHA_384;yes;		0.114000;24;211;211
ALG_SHA_512;yes;		0.114000;24;211;211
ALG_SHA_224;yes;		0.115000;24;107;107
ALG_SHA3_224;no;		0.014000;0;0;0
ALG_SHA3_256;no;		0.015000;0;0;0
ALG_SHA3_384;no;		0.015000;0;0;0
ALG_SHA3_512;no;		0.012000;0;0;0
ALG_SM3;no;		0.016000;0;0;0
ALG_NULL;no;		0.015000;0;0;0

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;		0.060000;12;0;0
ALG_SECURE_RANDOM;yes;		0.023000;0;0;0
ALG_TRNG;yes;		0.085000;12;0;0
ALG_ALG_PRESEEDED_DRBG;yes;		0.061000;12;0;0
ALG_FAST;yes;		0.060000;12;0;0
ALG_KEYGENERATION;yes;		0.084000;12;0;0

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;		0.161000;40;9;9
TYPE_DES_TRANSIENT_DESELECT;yes;		0.160000;40;9;9
TYPE_DES LENGTH_DES;yes;		0.135000;44;0;0
TYPE_DES LENGTH_DES3_2KEY;yes;		0.141000;52;0;0
TYPE_DES LENGTH_DES3_3KEY;yes;		0.141000;60;0;0
TYPE_AES_TRANSIENT_RESET;yes;		0.161000;40;17;17
TYPE_AES_TRANSIENT_DESELECT;yes;		0.164000;40;17;17
TYPE_AES LENGTH_AES_128;yes;		0.142000;52;0;0
TYPE_AES LENGTH_AES_192;yes;		0.132000;60;0;0
TYPE_AES LENGTH_AES_256;yes;		0.142000;68;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;		0.132000;104;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_736;no;		0.018000;0;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;		0.131000;136;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;		0.133000;152;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;		0.141000;168;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;		0.141000;200;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;		0.143000;232;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;		0.143000;288;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;		0.133000;296;0;0
